Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
ArrowAndroidSamples, 0, 0, 7, 9, 16, 632, 6, 1536, 206, 5, 334
Kotpref, 2, 1, 30, 3, 36, 1211, 5, 2705, 424, 14, 333
Kotlift, 1, 2, 3, 0, 6, 1019, 6, 1413, 68, 3, 332
CrunchyCalendar, 1, 0, 3, 7, 11, 184, 4, 2247, 232, 3, 331
graphql-java-tools, 2, 0, 22, 10, 34, 654, 16, 2531, 414, 37, 329
ActivityStarter, 0, 1, 21, 7, 29, 660, 4, 3091, 353, 5, 329
android-material-app-rating, 2, 0, 9, 6, 17, 684, 5, 1616, 45, 6, 328
ArcSeekBar, 1, 0, 2, 1, 4, 472, 2, 240, 54, 3, 326
Android-Kotlin-Clean-Architecture, 0, 0, 1, 1, 2, 334, 0, 1678, 69, 2, 323
hiroaki, 2, 0, 11, 3, 16, 261, 3, 2968, 179, 2, 321
Android-Testing-With-Kotlin, 0, 0, 0, 2, 2, 755, 4, 395, 147, 6, 318
dresscode, 0, 0, 0, 1, 1, 89, 0, 262, 30, 2, 317
AndroidVeil, 2, 0, 1, 2, 5, 25, 0, 763, 17, 2, 316
WhatsNew, 0, 0, 0, 0, 0, 359, 1, 519, 6, 4, 315
Splitties, 0, 0, 149, 6, 155, 835, 32, 9360, 1001, 4, 315
simpletask-android, 15, 5, 40, 22, 82, 1780, 211, 8901, 3352, 72, 314
RxRiddles, 0, 0, 0, 0, 0, 183, 0, 1668, 15, 7, 314
kotlin-argparser, 2, 0, 20, 2, 24, 687, 25, 2388, 250, 5, 310
walleth, 6, 2, 15, 25, 48, 573, 117, 8102, 1027, 12, 308
livedata-ktx, 1, 0, 3, 0, 4, 218, 7, 530, 76, 3, 305
MinecraftDev, 6, 1, 117, 52, 176, 1171, 123, 26400, 1242, 28, 305
EmojiSlider, 3, 1, 14, 12, 30, 121, 0, 2593, 69, 1, 304
AndroidModular, 0, 0, 0, 3, 3, 560, 0, 399, 12, 2, 304
AztecEditor-Android, 26, 12, 110, 37, 185, 866, 76, 22097, 3194, 24, 303
ModalBottomSheetDialogFragment, 0, 0, 0, 1, 1, 282, 0, 368, 19, 4, 303
TimeLineView, 0, 0, 1, 1, 2, 403, 0, 308, 33, 5, 303
RecyclerView-FastScroller, 1, 0, 0, 2, 3, 151, 0, 999, 21, 4, 302
snackprogressbar, 3, 0, 7, 4, 14, 550, 0, 1466, 66, 2, 300
Movies, 1, 0, 8, 27, 36, 605, 2, 4636, 420, 4, 300
kotlin-mvp-example, 0, 0, 0, 3, 3, 755, 1, 482, 7, 6, 299
crweather, 0, 0, 8, 1, 9, 534, 5, 758, 81, 1, 298
SnapTabLayout, 1, 1, 1, 1, 4, 105, 1, 595, 56, 3, 295
Apollo, 1, 0, 4, 1, 6, 839, 3, 1134, 221, 4, 295
RxImagePicker, 12, 2, 32, 46, 92, 1079, 7, 6282, 182, 4, 294
VPNHotspot, 1, 0, 12, 12, 25, 326, 7, 4454, 442, 3, 293
Kanary, 1, 1, 29, 10, 41, 550, 2, 2998, 169, 3, 291
MaterialPopupMenu, 4, 1, 3, 5, 13, 496, 2, 1722, 25, 5, 287
kotlin-wrappers, 4, 0, 101, 6, 111, 540, 21, 4481, 306, 22, 286
PackageTracker, 7, 3, 14, 22, 46, 887, 23, 7253, 260, 13, 284
Eyepetizer, 4, 2, 2, 36, 44, 459, 3, 3763, 25, 2, 284
stencil, 0, 0, 0, 1, 1, 779, 2, 163, 5, 1, 284
Evil-Hide, 0, 0, 0, 1, 1, 993, 3, 425, 51, 3, 283
kotlin-android-workshop, 0, 0, 0, 0, 0, 79, 0, 621, 32, 2, 283
android-arch-news-sample, 0, 0, 0, 2, 2, 551, 4, 860, 27, 3, 281
Android-Architecture-Components, 0, 0, 0, 1, 1, 556, 2, 362, 23, 4, 281
asmble, 12, 2, 127, 23, 164, 633, 10, 8802, 130, 2, 280
mask-edittext, 0, 0, 0, 1, 1, 473, 1, 156, 42, 5, 279
stylist, 0, 0, 4, 0, 4, 103, 3, 641, 17, 2, 279
Karchitec, 0, 0, 2, 6, 8, 541, 1, 1507, 47, 3, 279
Android-FloatingTutorialActivity, 0, 0, 1, 4, 5, 443, 1, 1393, 21, 1, 279
MVICore, 0, 0, 13, 9, 22, 258, 3, 2570, 157, 9, 278
Android-GoldenEye, 4, 0, 21, 8, 33, 975, 1, 4549, 42, 6, 276
GSYGithubAppKotlin, 6, 3, 162, 39, 210, 17, 2, 12511, 221, 2, 275
31DaysOfKotlin, 0, 0, 0, 0, 0, 234, 0, 42, 10, 1, 274
android-text, 0, 1, 4, 0, 5, 303, 0, 1266, 51, 5, 274
TeamCity.Node, 0, 0, 7, 15, 22, 2143, 49, 2532, 336, 20, 274
MaterialStatusBarCompat, 0, 0, 2, 3, 5, 1230, 0, 262, 6, 2, 273
RxTest, 1, 0, 1, 0, 2, 393, 1, 784, 312, 4, 271
co.revely.gradient, 0, 0, 1, 3, 4, 432, 3, 525, 16, 1, 271
kotlinextensions.com, 0, 0, 0, 0, 0, 452, 0, 169, 46, 11, 269
notify, 0, 2, 1, 3, 6, 219, 2, 1790, 52, 1, 269
ChangeDetection, 6, 2, 26, 18, 52, 182, 3, 6732, 195, 6, 269
Simple-File-Manager, 4, 0, 13, 9, 26, 866, 53, 2289, 1066, 49, 267
android-gif-example, 0, 0, 1, 3, 4, 888, 3, 1227, 468, 2, 267
android-junit5, 2, 0, 13, 8, 23, 786, 6, 3754, 245, 5, 267
FunctionalAndroidReference, 0, 2, 16, 2, 20, 795, 0, 4241, 280, 2, 267
ElevationImageView, 0, 0, 0, 1, 1, 254, 4, 193, 31, 3, 265
JRAW, 5, 0, 23, 25, 53, 1656, 14, 10740, 1216, 27, 264
Android-Architecture-Components-Kotlin, 1, 1, 1, 3, 6, 525, 1, 1003, 50, 4, 264
lantern, 1, 0, 4, 17, 22, 307, 0, 4823, 270, 6, 264
mpv-android, 2, 2, 3, 5, 12, 949, 35, 1512, 454, 13, 264
RxRouter, 0, 0, 4, 3, 7, 230, 1, 1148, 29, 1, 263
android-face-detector, 0, 0, 5, 2, 7, 156, 0, 325, 27, 2, 263
Kotlin-CleanArchitecture, 0, 0, 1, 2, 3, 892, 1, 881, 15, 2, 262
kotlin-architecture-components, 0, 0, 0, 0, 0, 535, 1, 479, 63, 4, 262
sonar-kotlin, 0, 0, 11, 2, 13, 507, 14, 1808, 84, 12, 262
kotlin-android-mvp-starter, 0, 0, 0, 0, 0, 552, 2, 266, 7, 2, 261
khronos, 1, 0, 2, 0, 3, 980, 9, 532, 32, 3, 261
anko-example, 0, 0, 1, 0, 1, 1333, 9, 199, 12, 2, 260
ElasticViews, 0, 0, 1, 6, 7, 673, 0, 617, 54, 2, 260
bodyweight-fitness-android, 5, 0, 9, 19, 33, 1348, 29, 5636, 370, 5, 259
Simple-Camera, 3, 0, 2, 5, 10, 957, 36, 2093, 986, 47, 259
Kotlin-CN, 4, 0, 33, 5, 42, 879, 0, 6874, 239, 5, 259
komputation, 1, 9, 165, 9, 184, 534, 5, 11341, 192, 1, 257
android-kotlin-samples, 0, 0, 0, 0, 0, 1313, 0, 639, 56, 3, 256
FredBoat, 9, 2, 44, 32, 87, 996, 79, 13482, 2605, 38, 256
ts2kt, 14, 27, 935, 220, 1196, 1748, 65, 24117, 412, 12, 255
transition-x, 0, 1, 2, 4, 7, 122, 0, 3168, 138, 1, 254
neo4j-graphql, 8, 1, 40, 10, 59, 762, 67, 4382, 202, 7, 254
zally, 1, 0, 38, 12, 51, 706, 35, 12577, 2195, 49, 253
MotionLayoutCarousel, 0, 0, 0, 0, 0, 40, 0, 128, 12, 1, 253
fast-list, 0, 0, 2, 1, 3, 149, 0, 156, 25, 2, 253
khttp, 6, 0, 16, 2, 24, 1133, 26, 3572, 180, 7, 252
Kotlin-Android-Boilerplate, 0, 0, 6, 3, 9, 835, 3, 1091, 40, 3, 251
BRVAH_kotlin, 1, 2, 2, 2, 7, 521, 7, 2656, 21, 2, 250
koptional, 1, 0, 0, 0, 1, 543, 1, 588, 25, 10, 249
AnimatedTabLayout, 1, 0, 1, 3, 5, 210, 5, 483, 8, 2, 249
intellij-java2smali, 0, 0, 0, 0, 0, 1768, 4, 139, 67, 4, 248
squanchy-android, 1, 0, 52, 45, 98, 750, 33, 10287, 3651, 25, 248
Simple-Music-Player, 4, 1, 7, 11, 23, 1050, 27, 3128, 946, 40, 248
FriceEngine, 2, 0, 18, 14, 34, 834, 0, 3827, 749, 8, 247
Ferris-Wheel, 1, 0, 11, 4, 16, 317, 0, 1126, 62, 2, 246
RollingText, 2, 0, 11, 11, 24, 270, 2, 1250, 55, 3, 246
Frames, 0, 0, 0, 0, 0, 504, 3, 111, 630, 3, 242
diagonal-imageview, 1, 0, 0, 1, 2, 473, 0, 411, 44, 3, 241
zircon, 5, 5, 30, 85, 125, 531, 39, 24819, 640, 12, 240
UserLAnd, 6, 2, 26, 17, 51, 250, 69, 4671, 892, 9, 240
scalechain, 15, 2, 131, 29, 177, 1120, 11, 37610, 699, 6, 239
Philology, 0, 0, 2, 0, 2, 148, 3, 802, 30, 1, 238
LayoutMaster, 1, 1, 14, 3, 19, 225, 2, 1300, 14, 2, 236
kotlin-puzzlers, 0, 0, 0, 0, 0, 896, 8, 67, 362, 15, 235
Kotlin-Algorithm, 0, 2, 3, 6, 11, 966, 3, 954, 73, 10, 235
iPoli-android, 66, 15, 213, 183, 477, 1262, 0, 86457, 7479, 7, 234
Flick, 0, 0, 1, 2, 3, 115, 1, 583, 64, 2, 234
clean-architecture-android-kotlin, 0, 0, 1, 0, 1, 252, 2, 560, 32, 1, 233
Parallax, 0, 0, 1, 1, 2, 496, 0, 301, 5, 2, 233
hamkrest, 0, 0, 10, 0, 10, 1110, 12, 1456, 157, 10, 233
retrofit2-kotlinx-serialization-converter, 0, 0, 1, 0, 1, 321, 0, 204, 19, 1, 232
redux-kotlin, 0, 0, 1, 0, 1, 865, 2, 510, 84, 2, 232
gradle-kotlin-dsl-migration-guide, 0, 0, 0, 0, 0, 196, 0, 0, 21, 2, 231
ColoredShadowImageView, 0, 0, 2, 1, 3, 272, 3, 317, 36, 3, 230
emotion-rating-view, 0, 0, 0, 1, 1, 170, 1, 359, 10, 4, 228
kotlin-algorithm-club, 3, 7, 17, 7, 34, 636, 0, 5171, 103, 3, 227
IndicatorFastScroll, 1, 0, 3, 1, 5, 249, 2, 1296, 12, 2, 227
PlayTabLayout, 3, 0, 9, 4, 16, 410, 4, 1800, 24, 2, 226
deep-clean, 0, 1, 0, 0, 1, 172, 2, 0, 36, 1, 226
webstorm-styled-components, 0, 0, 0, 0, 0, 452, 13, 380, 65, 6, 225
kotlin-android-flux, 0, 0, 4, 1, 5, 1256, 1, 890, 97, 3, 225
PUBG-Radar, 6, 2, 17, 3, 28, 299, 47, 3485, 33, 1, 224
KUnidirectional, 0, 0, 2, 7, 9, 592, 1, 3736, 51, 2, 224
AndroidP-ify, 5, 4, 11, 6, 26, 254, 30, 4119, 150, 14, 224
Relax, 0, 0, 20, 4, 24, 90, 1, 2801, 53, 2, 221
serverless-photo-recognition, 0, 0, 0, 1, 1, 689, 1, 375, 75, 4, 221
bayesian_sentiment_analysis, 2, 1, 3, 3, 9, 846, 0, 1810, 16, 1, 220
LabCoat, 7, 3, 89, 67, 166, 1217, 5, 17291, 913, 31, 220
literallytoast, 0, 0, 3, 0, 3, 413, 5, 160, 23, 3, 218
My-Wallet-V3-Android, 63, 51, 151, 137, 402, 1482, 2, 51915, 5565, 22, 218
openct-android, 0, 0, 0, 1, 1, 722, 31, 398, 149, 2, 217
injekt, 1, 1, 5, 4, 11, 1211, 13, 801, 252, 6, 217
WiseFy, 5, 0, 20, 40, 65, 943, 1, 9976, 276, 4, 216
