Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
ansj_seg,45,136,80,23,284,2272,46,15731,779,40,4605
wechat,93,391,294,49,827,1280,39,36564,77,5,4593
react-native-image-picker,4,17,13,3,37,1266,307,2043,549,100,4583
XRecyclerView,6,55,25,6,92,1103,236,5029,119,11,4579
AndroidPerformanceMonitor,8,19,14,6,47,1043,33,2915,182,16,4569
graylog2-server,431,1061,1178,443,3113,3114,669,186812,15631,104,4563
android-interview-questions,0,0,0,0,0,504,6,5,214,34,4546
closure-compiler,797,3954,2058,572,7381,1684,767,433419,13606,932,4535
PiggyMetrics,1,10,6,0,17,1337,7,3446,265,14,4508
processing,238,1281,1382,139,3040,2131,513,132963,26699,144,4497
go-lang-idea-plugin,104,269,459,107,939,3010,424,67918,6835,90,4497
Small,22,79,64,10,175,1094,246,7391,948,26,4481
gocd,940,1954,2646,1003,6543,1808,851,383966,8029,194,4481
moshi,37,137,71,31,276,1569,39,17462,699,47,4481
FloatingActionButton,10,48,30,6,94,1345,224,2756,155,10,4468
SimplifyReader,105,364,224,68,761,1196,39,43381,47,10,4459
android-volley,22,39,63,9,133,2014,70,7911,1944,55,4449
mit-deep-learning-book-pdf,0,0,0,0,0,597,6,2,14,3,4448
NineOldAndroids,27,55,35,14,131,2544,42,9856,146,10,4445
FlowLayout,2,11,21,1,35,1185,107,995,40,10,4444
jna,271,611,1283,179,2344,2767,45,138111,3963,199,4393
Depth-LIB-Android-,13,23,74,10,120,942,10,3910,42,9,4381
ctci,13,96,103,16,228,2075,76,13191,337,48,4353
disconf,50,127,175,20,372,1640,180,23683,1165,16,4344
NavigationTabBar,9,24,31,3,67,971,47,2684,86,10,4330
barcodescanner,9,26,15,9,59,1735,187,2975,201,35,4324
coursera-android,36,181,149,49,415,1785,29,20702,73,6,4310
elastic-job-lite,34,45,85,50,214,1171,97,25327,1603,34,4305
android-bootstrap,16,23,61,19,119,2272,40,5765,238,23,4300
android-times-square,7,16,21,3,47,2125,25,2565,351,61,4294
Activiti,300,1260,1187,303,3050,2264,217,184063,8743,261,4285
elasticsearch-sql,36,151,161,34,382,1554,156,18604,921,55,4269
blade,45,95,87,53,280,1264,16,22271,1280,33,4267
robolectric,392,716,1250,357,2715,3011,415,152765,10047,641,4265
richeditor-android,2,2,3,1,8,1336,143,602,122,18,4258
HTextView,14,40,32,3,89,1072,25,3358,141,14,4258
android-advancedrecyclerview,78,154,360,71,663,1401,156,28008,742,21,4254
Transitions-Everywhere,32,84,151,13,280,1502,4,12300,289,9,4229
DiscreteScrollView,10,13,44,9,76,632,35,3723,96,5,4229
folding-cell-android,2,12,15,1,30,968,23,1032,103,11,4225
android-crop,6,14,22,6,48,1718,122,1847,217,25,4225
nanohttpd,19,58,69,17,163,2298,116,11044,611,85,4225
error-prone,455,1313,660,331,2759,1557,271,187425,4044,219,4219
spring-mvc-showcase,3,5,6,12,26,2732,16,2266,73,11,4213
dialogplus,3,7,23,1,34,1444,33,1313,179,12,4206
jsonschema2pojo,69,115,174,53,411,1982,99,24214,1191,103,4146
SmoothProgressBar,7,17,13,6,43,1824,28,2200,169,16,4136
AndroidPicker,30,86,89,16,221,1131,96,11225,342,15,4123
TapTargetView,4,10,27,4,45,805,9,2119,164,23,4121
UltraViewPager,7,10,22,5,44,606,36,2348,87,10,4108
k-9,246,758,842,215,2061,2851,872,100987,10014,268,4101
useful-java-links,20,76,4,15,115,1016,1,7653,689,42,4086
AndroidPdfViewer,11,25,39,11,86,906,292,4216,90,13,4085
CtCI-6th-Edition,13,169,222,24,428,1242,78,23992,405,25,4085
baseAdapter,7,8,42,2,59,1210,112,2103,12,3,4084
smile,372,1020,814,183,2389,1466,29,142814,1555,46,4075
bottomsheet,9,17,34,4,64,1312,49,2786,172,25,4049
checkstyle,423,935,542,381,2281,1912,486,239801,9961,232,4037
